ID,Name,Category,Intake,University,Status,Start_Date,Season,Campaign_Type,Campaign_Region,Campaign_Status,Status_Category,Deposit_Status,Completion_Status
AANF23,"GR GS FA24 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,3/20/2024,FA24,Campaign,Not Mentioned,"Admit, No Deposit",Deposit/Admit Issues,No Deposit,Complete
AND23,GR GS FA24 Campaign- Deposit No Action,Post Admission,AY2024,Illinois Institute of Technology,Completed,9/11/2024,FA24,Campaign,Not Mentioned,Deposit No Action,Deposit/Admit Issues,Deposit Clean,Complete
BPNANF23,"GR GS FA24 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/11/2024,FA24,Campaign,Not Mentioned,"Deposit, No I-20",Deposit/Admit Issues,Deposit Given (Issue),Complete
BPNND23,GR GS FA24 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,3/6/2024,FA24,Campaign,Not Mentioned,In Progress,Active Pipeline,Not Applicable,Ongoing
CTKANF23,"GR GS FA24 Campaign- Submit, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,3/8/2024,FA24,Campaign,Not Mentioned,"Submit, Incomplete",Incomplete Applications,Not Applicable,Incomplete
DANE24,GR GS Call Campaign: India ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,4/28/2023,Not Mentioned,Call Campaign,India,ANF,Special Cases,Not Applicable,Unknown/Special
DNA24,GR GS Call Campaign: India No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,7/3/2023,Not Mentioned,Call Campaign,India,No Deposit,Deposit/Admit Issues,No Deposit,Complete
FA24AND,GR GS Call Campaign: Other ANF,Post Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023,Not Mentioned,Call Campaign,Other,ANF,Special Cases,Not Applicable,Unknown/Special
FA24DNA,GR GS Call Campaign: Other No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,7/5/2023,Not Mentioned,Call Campaign,Other,No Deposit,Deposit/Admit Issues,No Deposit,Complete
FA24DNI,GR GS SP25 Campaign- All I-20s Sent,Post Admission,AY2024,Illinois Institute of Technology,Completed,12/5/2024,SP25,Campaign,Not Mentioned,20s Sent,Special Cases,Not Applicable,Unknown/Special
FA24IP,"GR GS SP25 Campaign- Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,10/9/2024,SP25,Campaign,Not Mentioned,"Admit, No Deposit",Deposit/Admit Issues,No Deposit,Complete
FA24SIC,"GR GS SP25 Campaign- Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,10/22/2024,SP25,Campaign,Not Mentioned,"Deposit, No I-20",Deposit/Admit Issues,Deposit Given (Issue),Complete
IANF23,GR GS SP25 Campaign- Deferrals to SP25,Post Admission,AY2024,Illinois Institute of Technology,Completed,11/5/2024,SP25,Campaign,Not Mentioned,Deferrals to SP25,Special Cases,Not Applicable,Unknown/Special
IND23,GR GS SP25 Campaign- In Progress,Pre Admission,AY2024,Illinois Institute of Technology,Completed,10/7/2024,SP25,Campaign,Not Mentioned,In Progress,Active Pipeline,Not Applicable,Ongoing
OANF23,GR GS SP25 Campaign- New Inquiry,Pre Admission,AY2024,Illinois Institute of Technology,Completed,10/18/2024,SP25,Campaign,Not Mentioned,New Inquiry,Active Pipeline,Not Applicable,Ongoing
OND23,"GR GS SP25 Campaign- Submitted, Incomplete",Pre Admission,AY2024,Illinois Institute of Technology,Completed,10/9/2024,SP25,Campaign,Not Mentioned,"Submitted, Incomplete",Incomplete Applications,Not Applicable,Incomplete
SP25AI2S,GR GS Call Campaign: Africa ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/18/2023,Not Mentioned,Call Campaign,Africa,ANF,Special Cases,Not Applicable,Unknown/Special
SP25AND,GR GS Call Campaign: Africa No Deposit,Post Admission,AY2024,Illinois Institute of Technology,Completed,7/5/2023,Not Mentioned,Call Campaign,Africa,No Deposit,Deposit/Admit Issues,No Deposit,Complete
SP25DN1,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023,Not Mentioned,Call Campaign,"Bangladesh, Pakistan, Nepal",ANF,Special Cases,Not Applicable,Unknown/Special
SP25DSP,"GR GS Call Campaign: Bangladesh, Pakistan, Nepal No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/5/2023,Not Mentioned,Call Campaign,"Bangladesh, Pakistan, Nepal",No Deposit,Deposit/Admit Issues,No Deposit,Complete
SP25IP,"GR GS Call Campaign: China, Taiwan, Korea ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,5/16/2023,Not Mentioned,Call Campaign,"China, Taiwan, Korea",ANF,Special Cases,Not Applicable,Unknown/Special
SP25NIQ,"Deposit and Advised, Not Enrolled",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/17/2024,Not Mentioned,Campaign,Not Mentioned,"Deposit and Advised, Not Enrolled",Deposit/Admit Issues,Deposit Clean,Complete
SP25SIC,"Deposit, Not Advised",Post Admission,AY2024,Illinois Institute of Technology,Completed,7/17/2024,Not Mentioned,Campaign,Not Mentioned,"Deposit, Not Advised",Deposit/Admit Issues,Deposit Given (Issue),Complete
